d4, i0 i1, p2 p2, g3
d3740, i303, , g2593 g3739 g1634 g350
d3742, i3741, p161 p82, g400
d3744, , , g1325 g3743
d3745, , , g430
d3746, i1153, p1117, g143
d3748, i646, p8, g36 g3747 g2611 g3032 g2876 g1102 g20 g37 g158 g485 g1852 g3035 g1723 g22
d3749, , p356, g263
d3750, , , g1868
d3751, , , g542
d3754, i3752, p87, g3753 g453 g263
d3755, i1153, p87, g20
d3756, , p240, g22
d3757, , p77, 
d3758, i249, p26 p2101, g413
d3759, i249, , 
d3760, , p8, 
d3761, , p87 p82, g2654 g79 g298
d3762, i1040, , 
d3763, i1807, , 
d3764, i1807, , 
d3765, , , g660 g173
d3766, , p26, 
d3767, i288, p8, 
d3768, i249, p388, g1109
d3769, i259, , g210 g38
d3770, i3646, , 
d3772, i2690, p3771 p82, g1204 g54 g210 g79
d3773, i1798, , 
d3774, i1807, p8, g451 g552
d3775, i249, p294, 
d3776, , p294, g1204
d3777, , p106, g22
d3778, , p106, g1204
d3779, , p106, g1204 g22 g45
d3780, , p106, g1204
d3781, , p106, g1204
d3782, i249, p26, 
d3783, , p82, 
d3784, i303, p8, g1108 g38
d3785, , , g1204 g20
d3786, i6 i288, p77 p82, 
d3787, i7, , 
d3789, i3788, , 
d3790, i7, p8, 
d3791, i7, , 
d3792, i3788, p8, 
d3793, i7, , 
d3794, i7, p8, g54 g158
d3795, , , g52 g413
d3796, , , g451
d3797, , , g451
d3798, , , g3
d3800, i3799, , 
d3802, i3801, , 
d3803, i288, p82, 
d3806, i3804, p1871, g312 g3805
d3807, , p26, 
d3808, , p26, g22
d3809, i1349, p26 p701, g2600 g1265
d3810, , , g20
d3811, , , g20
d3812, , , g20
d3813, , , g20
d3814, , , g20
d3815, , , g20
d3816, , , g20
d3817, , , g20
d3818, , , g20
d3819, , , g20
d3820, , , g20
d3821, , , g20
d3822, , , g20
d3823, , , g20
d3824, , , g20
d3825, , , g20
d3826, , , g20
d3827, , , g20
d3828, , , g20
d3829, , , g20
d3830, , , g20
d3831, , , g20
d3832, , , g20
d3833, , , g75 g210 g79 g1042 g380 g2123 g2629 g71
d3835, i472, p8, g3834
d3837, i3836, , 
d3838, , p894 p17, 
d3839, , p77, 
d3840, , p77, 
d3841, , p77, 
d3842, , p106, g1204 g79 g22
d3843, , p106, g1204 g79 g22
d3844, , p43 p87, 
d3845, , p43, 
d3846, , p43, 
d3847, , p106, 
d3849, , , g1916 g172 g402 g3848 g542 g659
d3850, , p106, g330
d3852, i81, p106 p3851 p2017 p82, g79
d3853, , , g413 g38
d3854, i66, p17, g34
d3855, i103, , g2183
d3856, i3203, p26 p356, 
d3857, , p161, 
d3858, i1965, p894, 
d3859, i175, , 
d3860, i175, p161, 
d3861, i175, , 
d3862, , p161, 
d3863, i175, , 
d3866, i3864, p3865, 
d3868, i3867, p3865, 
d3869, , , g432 g95 g312
d3870, i374, p8, 
d3872, , , g3871
d3873, , , g451
d3874, , , g3 g379 g2506
d3875, i259, p8, g1930 g1935 g2289 g2288
d3876, i157, , g573
d3878, i2524, p8, g3877
d3879, , p8, 
d3880, i19, p8, g3877
d3881, i19, p8, g3877
d3882, i19, p8, g3877
d3883, i19, p8, g3877
d3884, i19, p8, g3877
d3885, i19, p8, 
d3886, i1153, p240, 
d3887, i7, p8, 
d3888, , , g20
d3889, , , g45
d3890, , , g542
d3891, , p77, g573 g38
d3892, i278, , g38
d3893, i175, , 
d3894, i372, p608, 
d3895, , , g22
d3896, , , g78
d3897, , p8, g20
d3899, i3898, , g542 g38
d3900, , p87 p2, 
d3901, , , g1378 g20 g79
d3902, , , g1378 g20 g79
d3903, , , g20 g1823 g79 g158 g1378 g1103
d3904, , , g1378 g20 g79
d3905, , p183, 
d3906, i572, , 
d3907, , p43, 
d3908, , p106, 
d3909, , p106, 
d3910, , , g573 g158 g1850
d3912, i3911, p8, g36 g2676 g834 g2632 g1024 g3036 g1850 g1723
d3913, , , g20
d3918, i3914, , g759 g834 g1026 g2632 g846 g3915 g45 g757 g3916 g90 g3917
d3919, i352, , g143 g402 g659 g2840 g2508 g173
d3920, , p161, g95 g429 g430 g2767 g432 g566
d3923, i3921, p3922, 
d3926, i1, , g3924 g194 g187 g495 g3925
d3927, i65, p1157, 
d3928, i572, , g38
d3929, , , g2788
d3930, , p279, g451
d3931, , p26, 
d3932, , , g527 g521 g1918
d3934, i2098, , g132 g527 g3933 g3681
d3935, i1519, p1787 p17, 
d3936, i1, p17, 
d3938, i1 i632, p87 p2 p2, g1644 g95 g429 g797 g431 g2162 g13 g776 g495 g3937 g504
d3939, i426, p427, 
d3941, i1 i3940, p1787 p17, 
d3942, i3940, p1787, 
d3944, i3943, p344, g1644 g797 g13 g2162 g776 g3937
d3945, i426, p427, 
d3946, , p161, g586 g95 g429 g774 g2767 g432 g22 g775 g430
d3947, , p106, g108
d3949, , p29, g486 g3948 g432 g413
d3950, i2776, p1628, 
d3951, i175, p796, 
d3952, i1101, p8, g807 g551 g599 g91
d3953, , , g807
d3954, , , g1024 g20 g91
d3955, i472, p8, g20
d3956, , , g273 g269 g271
d3957, i472, p8, g22 g20
d3958, i472, p8, g22 g20
d3960, i472, p8, g54 g3959 g10 g158 g20
d3961, i472, p8, 
d3963, i3962, , g312 g432 g774 g430
d3964, , , g451 g552
d3965, i175, p356, 
d3966, i382, p2051, 
d3967, , , g1634 g563
d3968, , p104, g95 g428 g432 g1607 g429
d3969, i421, , g52
d3970, , , g432
d3971, , , g2833 g47 g449 g1265 g1315 g91 g451
d3972, i1537, p26, g432
d3973, , p2, g263
d3974, , p87, 
d3975, , , g729 g451 g552
d3976, , p77, g20
d3978, i472, , g807 g3977
d3979, i175, , g410 g1830
d3980, , p104, g284 g2113 g470 g491 g1991
d3982, , p26, g91 g52 g2142 g3981 g199 g451 g158
d3983, i1791, , 
d3984, i1791, , 
d3985, , p26, 
d3986, , , g24 g552 g451 g263
d3987, , , g24 g552 g451 g263
d3988, , p87, 
d3989, i406, , g491 g3924
d3990, i646, p230, g14 g210
d3991, i3911, p8, g3031 g36 g2506 g3703 g37 g1852 g1723
d3993, , p3992, g38
d3994, i572, p8, 
d3995, , , g602 g440 g14 g542 g38
d3996, i103, p26, g79
d3998, , , g2155 g36 g793 g1850 g3997
d4000, i1, p26 p2 p198 p701, g2522 g1024 g1025 g1564 g52 g2632 g445 g3 g2623 g45 g702 g807 g705 g945 g379 g752 g199 g845 g3999 g551 g3959
d4001, , , g2052 g36
d4002, i540, p104, g1287 g402 g659
d4003, , p77, 
d4005, , p26 p77, g551 g100 g271 g14 g599 g4004 g180 g729 g284 g20 g3659 g552 g273 g2099 g451
d4006, , , g2858
d4007, , p356, 
d4008, , p77 p2, 
d4009, , , g263
d4010, , , g263
d4012, i4011, p8, 
d4016, i4013, , g4014 g4015
d4017, , p8, g1024
d4018, , , g451
d4020, i4019, p161, g20
d4021, , , g3997 g451 g552
d4022, i7, p8, g1850 g20 g451
d4023, , p8, g451
d4024, , p87, 
d4026, , , g573 g4025 g3035 g1850
d4027, , p77, 
d4028, i175, , 
d4029, i175, p8, g659 g402
d4030, i175, p82, 
d4031, i4011, p8, g1024 g91 g573 g20 g158 g1852 g3035
d4032, , p77, g3834 g38
d4033, , p77, 
d4034, , p77, g778
d4036, i4035, , g45
d4037, i540, , g451
d4038, , p87, 
d4039, , p87, 
d4040, , p87, 
d4041, , p87, 
d4044, , , g4042 g4043 g284
d4045, i795, p796, 
d4046, i278, , 
d4047, , p77, g2788
d4048, i421, , g273 g451 g552
d4049, i157, , g552 g551 g451 g599
d4050, , p87, 
d4051, i175, p161, g284 g2788 g1833
d4052, , p87 p26, 
d4053, , p87 p26, 
d4054, i1695, p26, g45
d4055, , p87 p26, 
d4056, , p87, 
d4057, , p87, 
d4058, , p87, 
d4059, , p87, 
d4061, i4060, p1117, g52 g79 g20
d4062, i2580, p87 p2, g38
d4063, i175, p77, 
d4065, i426, p4064, 
d4066, , p8, g36
d4067, , , g431 g13 g263
d4069, , p87, g4068 g95 g22
d4070, i426, p87, 
d4071, i472, , g79
d4075, , , g4072 g4073 g4074
d4076, , , g4072
d4077, i426, p87, g47 g431 g95 g1279 g501
d4081, i4078, p4079, g47 g4080 g453
d4082, i4078, p4079, g95 g429 g498 g432 g566 g263 g75
d4083, , , g444 g2977 g445 g1138 g1170
d4084, i540, , g143 g402 g173
d4085, , p1236, g312
d4086, i1, , g1850 g1024 g834 g45
d4087, i175, , g1287 g38
d4088, , p356, 
d4090, , p77, g4089
d4091, , p2, 
d4092, , p356, g3924
d4094, , p1029, g4093 g563 g451 g91
d4096, , , g4095 g54 g158
d4097, , , g2780 g4095 g54 g609 g2779
d4098, , , g4095 g54 g158
d4099, , , g4095 g54
d4100, , , g22
d4101, , p87, 
d4102, i288, p77 p106, g24
d4103, i288, p106, g24
d4104, i81, , 
d4105, , p87, 
d4106, , p77, 
d4107, , , g349 g350 g2503
d4108, , , g921
d4109, , , g921
d4110, , , g121 g1031
d4111, , p43, 
d4112, , , g806 g707 g453
d4114, i4113, p77, 
d4115, , , g199 g573 g54
d4116, , , g13
d4117, , , g121 g1031
d4118, , p26, g2506 g54 g180 g3
d4119, , , g2882 g1316
d4120, , p894, 
d4121, , p183, g1991
d4122, , p183, g1991
d4123, , p8, g1991
d4124, i16, p17, g34
d4125, i572, p8, 
d4126, i572, p8, 
d4127, i572, p8, 
d4128, , p583, 
d4129, , , g1031
d4130, , p77, 
d4131, , p104, 
d4132, i472, , 
d4133, i572, p82, g1819 g400
d4134, i572, p82, g1819 g400
d4135, i216, p636, 
d4136, , p198, 
d4137, , p161, 
d4138, , p29, 
d4139, , , g22 g1243
d4140, i175, , 
d4141, , , g121 g1031
d4142, , , g47
d4144, i1771 i1861 i1263 i897, p4143 p26 p230, g318 g901
d4145, , , g13 g47 g432
d4146, i343, p344, 
d4147, i343, p344, 
d4148, i343, p344, 
d4149, i343, p344, 
d4150, i343, p344, 
d4151, i343, p344, 
d4153, i4152, p1029 p1236 p344, 
d4156, i4154, p4155, 
d4159, i4157, p1383 p4158, 
d4161, i4160, p1383 p4158, 
d4163, i4162, p2907, 
d4165, i4164, p2907, 
d4167, i4166, p1381, 
d4168, i4166, p1381, 
d4170, i4169, p344, 
d4171, i2893, p2894, 
d4173, i4172, p87, 
d4174, i4172, p87, 
d4175, i4172, p87, 
d4176, i1349, p1628, 
d4177, i343, p344, 
d4178, i426, p427, 
d4179, i65, p761, g13
d4180, i426, p1381, 
d4181, , , g13
d4183, i4182, p1096, 
d4185, i619, p4184 p106, 
d4187, i4186, p344, 
d4188, i619, p4184, 
d4191, i4189, p4190 p17, 
d4192, i65, p2334, 
d4195, i4193, p4194, g2081 g770 g75
d4196, i426, p427, 
d4199, i4197, p4198, 
d4201, i4200, p1396, 
d4202, i4189, p4190, 
d4203, i619, p87, 
d4204, i16 i4189, p4190, 
d4205, i65, p761, 
d4206, i65, p761, 
d4207, i4189, p4190, 
d4208, i65, p761, 
d4210, i426, p4209, 
d4211, i16 i4189, p4190, 
d4213, i2672, p4212, 
d4214, i343, p87, g312
d4215, i2672, p4212, 
d4216, i1342, p4212, 
d4219, i4217, p32 p4218, g3001 g3002
d4221, i1771, p4220, g440
d4223, i4222, p344, 
d4225, i4224, p4212, 
d4227, i4226, p344, 
d4228, i4222, p344, 
d4230, i619, p4229, 
d4231, i619, p4229, 
d4233, i4232, p87, 
d4234, i343, p87, 
d4236, i4235, p87, 
d4238, i4237, p1381, g603
d4239, i2776, p87, g47 g22
d4241, i4240, p87, g47 g22
d4243, i4242, p87, g298
d4244, i4242, p87, 
d4245, i1741, p87, g52
d4246, i4242, p87, g375 g298 g22 g603
d4248, i4247, p87, g375 g298 g22 g603
d4250, i4249, p87, g47
d4252, i4251, p344, 
d4254, i4253, p344, 
d4256, i4255, p87, 
d4257, i4255, p87, 
d4258, i4169, p4212, 
d4261, i4259, p4260, 
d4263, i4262, p87, 
d4264, i4255, p87, 
d4265, i4255, p87, 
d4266, i4255, p87, 
d4267, i343, p87, 
d4268, i619, p4184 p106, 
d4269, i343, p87, 
d4271, i4270, p87, g440
d4274, i4272, p4273, 
d4277, i4275, p17 p4276, 
d4279, i4278, p1096, 
d4280, i1403, p1396, 
d4281, i2686, p1396, 
d4282, i1403, p1396, 
d4283, i2686, p1396, 
d4284, i65, p2322, 
d4285, i65, p761, 
d4286, i65, p761, 
d4288, i4287, p1396, 
d4289, i4287, p1396, 
d4290, i619, p4229, g22
d4292, i619, p4291 p106, 
d4293, i619, p4184, 
d4295, i4294, p4212, 
d4296, i1095, p1396, 
d4298, i1095, p4297, 
d4300, i4299, p1117, g839 g945 g845
d4302, i4301, p1117, 
d4304, i4303, p1117, 
d4306, i4305, p104, 
d4307, i3943, p87, 
d4309, i4308, p87, 
d4310, i4189, p4190 p17, 
d4311, i65, p761, 
d4312, i426, p427, 
d4313, i426, p427, 
d4314, i4303, p87, 
d4315, i4189, p4190 p17, g24
d4316, i619, p87, 
d4318, i829, p26 p4317, 
d4319, i4299, p87, 
d4320, i4299, p1396, 
d4321, i4299, p87, 
d4324, i4322, p4323 p32, 
d4325, i4322, p4323 p32, 
d4327, i4326, p4323 p32, g3001 g3002
d4328, i4217, p32 p4218, 
d4329, i4217, p32 p4218, 
d4330, i4253, p4212 p32, 
d4333, i4331, p4332 p17, g22
d4334, i461, p1731 p26, g2081
d4335, i461, p1731 p26, g2081
d4337, i4336, p87, 
d4338, i4157, p87, g312
d4339, i4224, p87, g22
d4340, i1373, p1096, 
d4341, i4299, p87, 
d4342, i4197, p4198, 
d4343, i4303, p87, 
d4344, i4197, p4198, 
d4345, i4200, p1396, 
d4346, i4200, p1117, 
d4347, i4200, p1396, 
d4348, i343, p344, 
d4349, i619, p4229, 
d4350, i619, p4184, g34
d4351, i288, p87, 
d4352, i288, p87, 
d4354, i4353, p104, 
d4355, i4353, p104, 
d4356, i619, p4184, 
d4359, i4255, p104, g774 g428 g95 g3805 g429 g2767 g432 g22 g775 g710 g4357 g90 g4358 g1607 g1229
d4361, i4360, p104, 
d4362, i2776, p87, 
d4364, i632, p4363, 
d4366, i4365, p104, 
d4368, i4367, p104, 
d4369, i2776, p87, 
d4371, i4370, p4363, 
d4372, i4370, p4363, 
d4374, i4373, p104, 
d4375, i632, p87, 
d4376, i4373, p104, 
d4377, i4370, p4363, 
d4378, i4224, p87, g498
d4379, i4224, p344, 
d4381, i4380, p104, 
d4382, i4224, p87, g312
d4383, i4255, p87, 
d4384, i4255, p87, 
d4387, i4385 i4386, p87, 
d4388, i4255, p87, 
d4389, i4255, p87, 
d4391, i4390, p87, 
d4392, i4253, p87, 
d4393, i4305, p104, 
d4394, i2776, p87, 
d4395, i4370, p4363, 
d4397, i4396, p87, 
d4398, i4367, p104, 
d4399, i4255, p104, 
d4400, i4305, p104, g22
d4401, i2776, p87, 
d4402, i4367, p104, 
d4403, i4370, p104, 
d4404, i4305, p104, 
d4405, i4370, p4363, 
d4406, i4303, p87, 
d4408, i4407, p104, 
d4409, i4370, p4363, 
d4410, i2776, p87, 
d4411, i4224, p344, 
d4412, i3943, p87, 
d4413, i2776, p87, 
d4414, i4303, p87, 
d4415, i4255, p104, 
d4417, i4416, p87, 
d4418, i426, p427, 
d4419, i4189, p4190 p17, g22
d4420, i426, p427, 
d4421, i4189, p4190 p17, 
d4422, i4189, p4190 p17, 
d4423, i4189, p4190 p17, 
d4424, i4189, p4190 p17, 
d4425, i4189, p4190 p17, 
d4426, i426, p427, g13 g432 g504 g95 g1279
d4427, i4255, p104, 
d4428, i4249, p87, 
d4429, i619, p4229, 
d4430, i619, p4229, 
d4431, i2776, p87, 
d4432, i343, p344, 
d4433, i4249, p87, 
d4434, i4255, p104, 
d4436, i4435, p87, 
d4437, i4249, p87, 
d4438, i4255, p104 p327, g504 g312
d4440, i4439, p4212, 
d4441, i1340, p4212, g95
d4443, i4442, p4212, 
d4445, i4444, p2894, 
d4447, i4446, p4212, 
d4448, i4224, p4363, 
d4449, i343, p87, 
d4451, i4450, p104, g95 g498
d4452, i1741, p87, g60
d4453, i343, p4212, 
d4454, i4446, p4212, 
d4455, i4237, p4212, 
d4456, i4442, p4212, 
d4458, i4457, p344, 
d4459, i4251, p4212, g95
d4460, i4370, p4363, 
d4462, i4461, p4212, g312
d4464, i4463, p4212, 
d4465, i4308, p4212, 
d4466, i4255, p87, 
d4468, i4467, p104, 
d4469, i4450, p104, 
d4470, i4365, p104, 
d4471, i4450, p87, 
d4472, i2776, p87, 
d4473, i4463, p87, g498
d4474, i4407, p87, 
d4475, i4463, p4212, 
d4476, i4353, p104, 
d4477, i4450, p4212, 
d4478, i2776, p87, 
d4479, i4450, p104, 
d4480, i3943, p4363, 
d4481, i4224, p87, 
d4482, i4353, p104, 
d4484, i4483, p104, 
d4485, i2776, p87, 
d4486, i4272, p4212, 
d4487, i4224, p87, 
d4488, i4222, p87, 
d4489, i4224, p87, 
d4490, i4483, p104, 
d4491, i619, p4184, 
d4492, i619, p4184, 
d4493, i4353, p87, 
d4494, i382, p104, 
d4495, i382, p104, 
d4496, i382, p104, 
d4497, i4367, p104, 
d4498, i4370, p4363, 
d4499, i4305, p104, 
d4500, i4450, p104, 
d4501, i4446, p87, 
d4502, i795, p87, 
d4503, i4353, p87, 
d4504, i4373, p104, g95
d4506, i4505, p104, g498
d4507, i4505, p104, 
d4508, i426, p87, g60 g95
d4509, i4255, p104, g95
d4510, i2776, p87, g95
d4512, i4511, p1029 p344, 
d4513, i4511, p1029 p344, 
d4514, i4511, p1029 p344, 
d4515, i4511, p1029 p344, 
d4516, i4237, p1029 p344, 
d4517, i4237, p1029 p344, 
d4518, i4226, p344, 
d4519, i4226, p344, 
d4520, i4226, p344, 
d4521, i4162, p344, 
d4522, i4162, p344, 
d4523, i4162, p344, 
d4530, , , g4524 g270 g52 g4525 g616 g4526 g79 g4527 g4528 g1526 g2182 g4529
d4531, , p26, 
d4532, i374, p87, g22
d4534, i4533, p104 p26, g400 g605
d4535, i4533, p104 p26, 
d4537, , , g4536 g765 g774 g430 g1833
d4538, i1695, p161, 
d4539, i1695, p161, 
d4540, , , g312 g765
d4541, , , g312 g765 g430
d4542, , p356, g765
d4543, i288, , g143 g402 g180 g173
d4543, , p26, g4544 g178 g1287 g173 g658
d4545, , , g20
d4546, , , g20
d4547, , p77, g451 g599
d4548, i1791, , 
d4549, i175, p2, g1229 g430 g498 g52 g432 g20 g312 g659 g515
d4550, i540, , 
d4551, i182, p8, 
d4552, i572, p8, 
d4553, i2524, p1310, 
d4554, i228, , g45
d4555, i406, , g2977 g1138 g1265
d4557, , , g4556
d4558, , p26 p106, g1378
d4559, , p8, g544 g38
d4561, i4560, p87, 
d4563, i4562, p87, 
d4564, i1349, p356, 
d4565, i406, p244, 
d4566, , p8, 
d4567, , p240, 
d4568, i4224, p87, 
d4569, i4224, p87, 
d4570, i4224, p87, 
d4571, i4224, p87, 
d4572, i4224, p87, 
d4573, i4224, p87, 
d4575, i4574, , 
d4576, i1071, p781, g108
d4577, i1071, p781, g108
d4578, i1071, p781, g108
d4579, i1071, p781, g108
d4580, i1071, p781, g108
d4581, i1071, p781, g108
d4582, i1071, p781, g108
d4583, i1071, p781, g108
d4584, i1071, p781, g108
d4585, i1071, p781, g108
d4586, i1071, p781, g108
d4587, i1071, p781, g108
d4588, i1071, p781, g108
d4589, i1071, p781, g108
d4590, i1071, p781, g108
d4591, i1071, p781, g108
d4592, i1071, p781, g108
d4593, i1071, p781, g108
d4594, , p781, g108
d4595, i1071, p781, g108
d4596, i1071, p781, g108
d4597, i1071, p781, g108
d4598, i1071, p781, g108
d4599, i1071, p781, g108
d4600, i1071, p781, g108
d4601, i1071, p781, g108
d4602, i1071, p781, g108
d4603, i1071, p781, g108
d4604, i1071, p781, g108
d4605, i1071, p781, g108
d4606, i1071, p781, g108
d4607, i1071, p781, g108
d4608, i1071, p781, g108
d4609, i1071, p781, g108
d4610, i1071, p781, g108
d4611, i1071, p781, g108
d4612, i1071, p781, g108
d4613, i1071, p781, g108
d4614, i1071, p781, g108
d4615, i1071, p781, g108
d4616, i1071, p781, g108
d4617, i1071, p781, g108
d4618, i1071, p781, g108
d4619, i1071, p781, g108
d4620, i1071, p781, g108
d4621, i1071, p781, g108
d4622, i1071, p781, g108
d4623, i1071, p356 p32 p781, g108
d4624, i1071, p356 p32 p781, g108
d4625, i1071, p356 p32 p781, g108
d4626, i1071, p356 p32 p781, g108
d4627, i1071, p356 p32 p781, g108
d4628, i1071, p356 p32 p781, g108
d4629, i1071, p356 p32 p781, g108
d4630, i1071, p356 p32 p781, g108
d4631, i1071, p356 p32 p781, g108
d4632, i1071, p356 p32 p781, g108
d4633, i1071, p356 p32 p781, g108
d4634, i1071, p356 p32 p781, g108
d4635, i1071, p356 p32 p781, g108
d4636, i1071, p356 p32 p781, g108
d4637, i1071, p356 p32 p781, g108
d4638, i1071, p356 p32 p781, g108
d4639, i1071, p356 p32 p781, g108
d4640, i1071, p356 p32 p781, g108
d4641, i1071, p781, g108
d4642, i1071, p781, g108
d4643, i1071, p781, g108
d4644, i1071, p781, g108
d4645, i1071, p781, g108
d4646, i1071, p781, g108
d4647, i1071, p781, g108
d4648, i1071, p781, g108
d4649, i1071, p781, g108
d4650, i1071, p781, g108
d4651, i1071, p781, g108
d4652, i1071, p781, g108
d4653, i1071, p781, g108
d4654, i1071, p781, g108
d4655, i1071, p781, g108
d4656, i1071, p781, g108
d4657, i1071, p781, g108
d4658, i1071, p781, g108
d4659, i1071, p781, g108
d4660, i1071, p781, g108
d4661, i1071, p781, g108
d4662, i1071, p781, g108
d4663, i1071, p781, g108
d4664, i1071, p781, g108
d4665, i1071, p781, g108
d4666, i1071, p781, g108
d4667, i1071, p781, g108
d4668, i1071, p781, g108
d4669, i1071, p781, g108
d4670, i123, , 
d4671, , p77, 
d4672, i1253, , 
d4674, i2598, p4673, 
d4675, , p26, 
d4676, , , g22
d4677, , p104, 
d4678, , p77, 
d4679, i182, , 
d4680, i288, p388 p26, 
d4682, i4681, p87, 
d4683, , p26 p82, 
d4684, , , g729 g91
d4685, , , g498 g430 g566
d4686, , , g121 g1031
d4687, i3017, , 
d4688, , p8, g378 g1325 g2522 g2624 g100 g24 g210 g79 g573 g52 g602 g1291 g1850 g199 g2123 g75
d4689, i66, p17, g34
d4691, i4690, p8, g45 g22 g38
d4693, i4692, p356, 
d4694, , p106, 
d4695, , , g22
d4697, , , g34 g22 g4696
d4698, i157, p8, g20
d4699, , , g566
d4700, , p112, 
d4701, , p2, 
d4702, , p8, 
d4703, i249, , 
d4704, i157, , g20
d4705, i247, p8, 
d4706, , p8, g22
d4707, i650, , g1024
d4708, , p17, 
d4709, , , g22
d4710, , , g1187 g1547 g515
d4711, i554, p4194, 
d4712, i554, p356 p4194, 
d4713, i554, p4194, 
d4714, i554, p4194, 
d4715, , p87, 
d4716, i646, p87 p26, 
d4717, i182, p104, 
d4718, , , g22 g210
d4719, i1791, , 
d4721, i4720, p1236, 
d4724, i4722, p4723 p106, 
d4725, , , g90 g20
d4726, , p161, 
d4727, i572, p161, 
d4728, , p8, 
d4729, , p43, g413 g38
d4730, i16, p17, g45
d4731, i65, , 
d4732, i65, p70, 
d4734, i65, p761, g4733 g68
d4735, i1018 i3017, p4194, 
d4736, , , g68 g34
d4739, i4737, p4143 p4738, 
d4740, i4737, p4143 p4738, g45 g943
d4741, , p106 p82, g431 g34 g22 g1031 g1243
d4742, , p26, g52
d4743, i572, p356, g659 g402
d4744, , p161, 
d4745, , p161, 
d4747, i4746, p894 p895, 
d4748, i4746, p894, 
d4750, i4749, , 
d4751, i4746, p894 p26, g100
d4752, i4746, p894 p26, 
d4754, i4746, p26 p895, g538 g4753 g100 g318
d4756, i4755, , 
d4758, i4757, , 
d4759, i4755, , 
d4760, , p104, 
d4761, , p17, 
d4762, , p17, 
d4763, , p17, 
d4764, , p3233, g2883 g519 g1138 g447
d4765, , p3233, 
d4766, , p240, 
d4767, , p26, 
d4768, , p240, 
d4769, i572, , g52 g100 g210 g616
d4770, , p26, g602 g806 g610
d4772, , , g4771 g801 g52 g616
d4773, , , g52 g100 g180 g616
d4774, , p82, 
d4775, i1153, , 
d4776, , p26, g403 g100 g79 g413 g180
d4778, i4777, p1451, 
d4779, i4777, p1451, 
d4780, i4777, p1451, 
d4781, i4777, p1451, 
d4782, i4777, p1451, 
d4783, i4777, p1451, 
d4784, i4777, p1451, 
d4785, i4777, p1451, 
d4786, i4777, p1451, 
d4787, i4777, p1451, 
d4788, i4777, p1451, 
d4789, i392, p1451, 
d4790, i392, p1451, 
d4791, i392, p1451, 
d4792, i392, p1451, 
d4793, i4777, p1451, 
d4794, i392, p1451, 
d4795, i392, p1451, 
d4796, i392, p1451, 
d4797, i392, p1451, 
d4798, i392, p1451, 
d4799, i392, p1451, 
d4800, i392, p1451, 
d4801, i392, p1451, 
d4802, i392, p1451, 
d4803, i392, p1451, 
d4804, i392, p1451, 
d4805, i392, p1451, 
d4806, i392, p1451, 
d4807, i392, p1451, 
d4808, i392, p1451, 
d4809, i392, p1451, 
d4810, i392, p1451, 
d4811, i392, p1451, 
d4812, i392, p1451, 
d4813, i392, p1451, 
d4814, i392, p1451, 
d4815, i392, p1451, 
d4816, i392, p1451, 
d4817, i392, p1451, 
d4819, i392, p26 p1451, g4818 g838
d4820, i392, p1451, 
d4821, i392, p1451, 
d4822, i392, p1451, 
d4823, i392, p1451, 
d4824, i392, p1451, 
d4825, i392, p1451, 
d4826, i392, p1451, 
d4827, i392, p1451, 
d4828, i392, p1451, 
d4829, i392, p1451, 
d4832, i4830 i4831, p1451, 
d4833, i4830 i4831, p1451, 
d4834, i4830 i4831, p1451, 
d4835, i4830 i4831, p1451, 
d4836, i4830 i4831, p1451, 
d4837, i4830 i4831, p1451, 
d4838, i646, p8, g36 g54
d4839, , p8, g38
d4840, i4011, , g20
d4841, , , g20
d4842, i2776, p87, 
d4843, , p26, 
d4846, , p161, g4844 g95 g430 g429 g1170 g431 g1564 g432 g22 g1138 g775 g2886 g2875 g312 g444 g440 g4845 g501
d4847, , , g432 g312 g45
d4850, i4848 i4849, p4143, g1024 g846 g731 g834
d4856, i4851, p4852 p4853, g1170 g4854 g4855 g1600 g45
d4857, i4851, p4852 p4853, g1170 g4854 g4855 g1600 g45
d4858, i4851, p4852 p4853, g4854 g4855 g1600 g1170
d4859, i4851, p4852 p4853, g45 g4854 g4855 g1600 g1170
d4860, , , g45
d4862, , p198, g4861 g2623 g1024 g380 g45
d4863, i406, , g1109
d4864, , p161, 
d4866, , , g4865
d4867, i57, , 
d4868, , p161, g400 g52
d4869, , p29 p77, 
d4870, , , g2801
d4871, , , g284 g22 g1243
d4872, i406, p583, 
d4873, , p17 p106, 
d4875, , p4874 p43, g491
d4876, , , g34
d4877, , p583, 
d4878, i16, p17, 
d4879, i472, , 
d4880, , , g1295 g658
d4881, i288 i354, p82 p1592, g1563 g1564 g2975 g1138
d4882, i1730, p1096, g1291 g1732
d4883, i2893 i1200, p1200 p2894 p82, 
d4884, i2965, p1628, 
d4886, i4885, p1731, g1769
d4887, i86, p1731, g1769
d4888, i4251 i377, p1731 p2849, 
d4889, i288, p1731, 
d4892, i4890, p1096, g444 g1265 g4891
d4894, i4893, p1096, 
d4895, i4217, p31 p32 p4218, 
d4897, i4896, p1731, g839
d4899, i4898, p1731, 
d4901, i4900, p1096, 
d4903, i4902, p1731, g2746 g1291
d4906, i2776, p4904 p4905, 
d4908, i4907, p1096, g707 g943
d4910, i4909, p1096 p26 p31, 
d4913, i4911, p1731 p26, g707 g4912
d4916, i4914 i4915 i392, p161, 
d4917, i2206, p1731 p26, 
d4919, i4226, p4918 p691 p82, 
